snapshot_date,product_id,product_name,category,warehouse_id,region,quantity_on_hand,quantity_available,quantity_reserved,reorder_point,days_of_supply,status
2025-08-02,RM-iMOW 7,iMOW RMI 632,Lawn Mowers,WH-TX-01,Southwest,56,49,7,15,34.8,NORMAL
2025-08-02,KM-91,KM 91 R,Multi-System,WH-TX-01,Southwest,39,35,4,12,23.9,NORMAL
2025-08-02,KM-111,KM 111 R,Multi-System,WH-TX-01,Southwest,50,47,3,12,36.3,NORMAL
2025-08-02,KM-131,KM 131 R,Multi-System,WH-TX-01,Southwest,33,31,2,12,28.9,NORMAL
2025-08-02,KM-KMA 130,KMA 130 R,Multi-System,WH-TX-01,Southwest,57,49,8,12,41.4,NORMAL
2025-08-02,KM-KMA 135,KMA 135 R,Multi-System,WH-TX-01,Southwest,36,33,3,12,25.7,NORMAL
2025-08-02,ACC-AP 200,AP 200 Battery,Accessories,WH-TX-01,Southwest,152,134,18,100,12.4,LOW
2025-08-02,ACC-AP 300,AP 300 Battery,Accessories,WH-TX-01,Southwest,413,372,41,100,31.2,NORMAL
2025-08-02,ACC-AP 500,AP 500 S Battery,Accessories,WH-TX-01,Southwest,154,142,12,100,14.3,NORMAL
2025-08-02,ACC-AL 500,AL 500 High-Speed Charger,Accessories,WH-TX-01,Southwest,207,186,21,100,17.6,NORMAL
2025-08-02,ACC-PPE-BOOTS,ProMark Chainsaw Boots,Accessories,WH-TX-01,Southwest,538,497,41,100,39.4,NORMAL
2025-08-02,MS-271,MS 271 Farm Boss,Chainsaws,WH-TX-02,Southwest,126,113,13,30,42.9,NORMAL
2025-08-02,MS-461,MS 461,Chainsaws,WH-TX-02,Southwest,82,78,4,30,29.3,NORMAL
2025-08-02,MS-462,MS 462 C-M,Chainsaws,WH-TX-02,Southwest,138,120,18,30,41.9,NORMAL
2025-08-02,MS-500i,MS 500i,Chainsaws,WH-TX-02,Southwest,130,111,19,30,41.6,NORMAL
2025-08-02,MS-661,MS 661 C-M,Chainsaws,WH-TX-02,Southwest,80,73,7,30,22.7,NORMAL
2025-08-02,MS-881,MS 881,Chainsaws,WH-TX-02,Southwest,33,31,2,30,11.1,LOW
2025-08-02,FS-91,FS 91 R,Trimmers,WH-TX-02,Southwest,47,44,3,40,9.0,LOW
2025-08-02,FS-111,FS 111 R,Trimmers,WH-TX-02,Southwest,138,130,8,40,30.2,NORMAL
2025-08-02,FS-131,FS 131 R,Trimmers,WH-TX-02,Southwest,60,55,5,40,12.6,LOW
2025-08-02,FS-240,FS 240,Trimmers,WH-TX-02,Southwest,34,32,2,40,6.1,CRITICAL
2025-08-02,FS-560,FS 560 C-EM,Trimmers,WH-TX-02,Southwest,223,197,26,40,54.3,NORMAL
2025-08-02,FS-FSA 135,FSA 135,Trimmers,WH-TX-02,Southwest,120,113,7,40,31.2,NORMAL
2025-08-02,BG-BR 430,BR 430,Blowers,WH-TX-02,Southwest,187,177,10,35,52.7,NORMAL
2025-08-02,BG-BR 600,BR 600,Blowers,WH-TX-02,Southwest,71,65,6,35,18.9,NORMAL
2025-08-02,BG-BR 700,BR 700,Blowers,WH-TX-02,Southwest,82,73,9,35,18.5,NORMAL
2025-08-02,BG-BR 800,BR 800 C-E,Blowers,WH-TX-02,Southwest,163,141,22,35,33.1,NORMAL
2025-08-02,BG-BGA 200,BGA 200,Blowers,WH-TX-02,Southwest,145,133,12,35,30.2,NORMAL
2025-08-02,HS-82,HS 82 R,Hedge Trimmers,WH-TX-02,Southwest,68,63,5,20,35.5,NORMAL
2025-08-02,HS-87,HS 87 R,Hedge Trimmers,WH-TX-02,Southwest,47,43,4,20,18.3,NORMAL
2025-08-02,HS-HL 91,HL 91 K,Hedge Trimmers,WH-TX-02,Southwest,58,50,8,20,22.2,NORMAL
2025-08-02,HS-HL 92,HL 92 C-E,Hedge Trimmers,WH-TX-02,Southwest,24,21,3,20,9.3,LOW
2025-08-02,HS-HL 94,HL 94 C-E,Hedge Trimmers,WH-TX-02,Southwest,86,74,12,20,35.4,NORMAL
2025-08-02,RM-RM 756,RM 756 GC,Lawn Mowers,WH-TX-02,Southwest,25,23,2,15,14.7,NORMAL
2025-08-02,RM-RMA 765,RMA 765 V,Lawn Mowers,WH-TX-02,Southwest,16,15,1,15,8.0,LOW
2025-08-02,RM-iMOW 5,iMOW RMI 422,Lawn Mowers,WH-TX-02,Southwest,74,70,4,15,34.9,NORMAL
2025-08-02,RM-iMOW 6,iMOW RMI 522 C,Lawn Mowers,WH-TX-02,Southwest,19,18,1,15,10.4,LOW
2025-08-02,RM-iMOW 7,iMOW RMI 632,Lawn Mowers,WH-TX-02,Southwest,82,73,9,15,46.9,NORMAL
2025-08-02,KM-91,KM 91 R,Multi-System,WH-TX-02,Southwest,53,47,6,12,37.9,NORMAL
2025-08-02,KM-111,KM 111 R,Multi-System,WH-TX-02,Southwest,60,55,5,12,40.8,NORMAL
