snapshot_date,product_id,product_name,category,warehouse_id,region,quantity_on_hand,quantity_available,quantity_reserved,reorder_point,days_of_supply,status
2024-10-15,BG-BR 600,BR 600,Blowers,WH-IL-01,Midwest,108,100,8,35,12.4,LOW
2024-10-15,BG-BR 700,BR 700,Blowers,WH-IL-01,Midwest,133,122,11,35,15.8,NORMAL
2024-10-15,BG-BR 800,BR 800 C-E,Blowers,WH-IL-01,Midwest,152,142,10,35,17.9,NORMAL
2024-10-15,BG-BGA 200,BGA 200,Blowers,WH-IL-01,Midwest,136,117,19,35,16.8,NORMAL
2024-10-15,HS-82,HS 82 R,Hedge Trimmers,WH-IL-01,Midwest,27,25,2,20,6.8,CRITICAL
2024-10-15,HS-87,HS 87 R,Hedge Trimmers,WH-IL-01,Midwest,87,76,11,20,19.9,NORMAL
2024-10-15,HS-HL 91,HL 91 K,Hedge Trimmers,WH-IL-01,Midwest,45,42,3,20,9.6,LOW
2024-10-15,HS-HL 92,HL 92 C-E,Hedge Trimmers,WH-IL-01,Midwest,104,92,12,20,23.3,NORMAL
2024-10-15,HS-HL 94,HL 94 C-E,Hedge Trimmers,WH-IL-01,Midwest,72,69,3,20,14.4,NORMAL
2024-10-15,RM-RM 756,RM 756 GC,Lawn Mowers,WH-IL-01,Midwest,81,73,8,15,20.5,NORMAL
2024-10-15,RM-RMA 765,RMA 765 V,Lawn Mowers,WH-IL-01,Midwest,71,61,10,15,20.7,NORMAL
2024-10-15,RM-iMOW 5,iMOW RMI 422,Lawn Mowers,WH-IL-01,Midwest,60,53,7,15,16.7,NORMAL
2024-10-15,RM-iMOW 6,iMOW RMI 522 C,Lawn Mowers,WH-IL-01,Midwest,65,60,5,15,16.0,NORMAL
2024-10-15,RM-iMOW 7,iMOW RMI 632,Lawn Mowers,WH-IL-01,Midwest,22,21,1,15,6.2,CRITICAL
2024-10-15,KM-91,KM 91 R,Multi-System,WH-IL-01,Midwest,49,44,5,12,17.1,NORMAL
2024-10-15,KM-111,KM 111 R,Multi-System,WH-IL-01,Midwest,59,53,6,12,19.7,NORMAL
2024-10-15,KM-131,KM 131 R,Multi-System,WH-IL-01,Midwest,37,35,2,12,13.8,LOW
2024-10-15,KM-KMA 130,KMA 130 R,Multi-System,WH-IL-01,Midwest,52,46,6,12,17.1,NORMAL
2024-10-15,KM-KMA 135,KMA 135 R,Multi-System,WH-IL-01,Midwest,50,44,6,12,24.0,NORMAL
2024-10-15,ACC-AP 200,AP 200 Battery,Accessories,WH-IL-01,Midwest,71,66,5,100,2.8,CRITICAL
2024-10-15,ACC-AP 300,AP 300 Battery,Accessories,WH-IL-01,Midwest,114,102,12,100,5.0,CRITICAL
2024-10-15,ACC-AP 500,AP 500 S Battery,Accessories,WH-IL-01,Midwest,138,125,13,100,6.5,CRITICAL
2024-10-15,ACC-AL 500,AL 500 High-Speed Charger,Accessories,WH-IL-01,Midwest,376,352,24,100,15.0,NORMAL
2024-10-15,ACC-PPE-BOOTS,ProMark Chainsaw Boots,Accessories,WH-IL-01,Midwest,382,353,29,100,21.1,NORMAL
2024-10-15,MS-271,MS 271 Farm Boss,Chainsaws,WH-MI-01,Midwest,40,36,4,30,7.0,LOW
2024-10-15,MS-461,MS 461,Chainsaws,WH-MI-01,Midwest,72,68,4,30,9.7,LOW
2024-10-15,MS-462,MS 462 C-M,Chainsaws,WH-MI-01,Midwest,12,11,1,30,2.1,CRITICAL
2024-10-15,MS-500i,MS 500i,Chainsaws,WH-MI-01,Midwest,74,68,6,30,9.8,LOW
2024-10-15,MS-661,MS 661 C-M,Chainsaws,WH-MI-01,Midwest,48,44,4,30,6.3,CRITICAL
2024-10-15,MS-881,MS 881,Chainsaws,WH-MI-01,Midwest,141,127,14,30,26.9,NORMAL
2024-10-15,FS-91,FS 91 R,Trimmers,WH-MI-01,Midwest,89,78,11,40,12.6,LOW
2024-10-15,FS-111,FS 111 R,Trimmers,WH-MI-01,Midwest,108,101,7,40,14.2,NORMAL
2024-10-15,FS-131,FS 131 R,Trimmers,WH-MI-01,Midwest,64,61,3,40,6.2,CRITICAL
2024-10-15,FS-240,FS 240,Trimmers,WH-MI-01,Midwest,157,140,17,40,17.8,NORMAL
2024-10-15,FS-560,FS 560 C-EM,Trimmers,WH-MI-01,Midwest,207,177,30,40,21.0,NORMAL
2024-10-15,FS-FSA 135,FSA 135,Trimmers,WH-MI-01,Midwest,35,31,4,40,3.9,CRITICAL
2024-10-15,BG-BR 430,BR 430,Blowers,WH-MI-01,Midwest,135,116,19,35,15.3,NORMAL
2024-10-15,BG-BR 600,BR 600,Blowers,WH-MI-01,Midwest,117,108,9,35,14.9,NORMAL
2024-10-15,BG-BR 700,BR 700,Blowers,WH-MI-01,Midwest,97,84,13,35,10.6,LOW
2024-10-15,BG-BR 800,BR 800 C-E,Blowers,WH-MI-01,Midwest,174,159,15,35,26.6,NORMAL
2024-10-15,BG-BGA 200,BGA 200,Blowers,WH-MI-01,Midwest,148,138,10,35,19.3,NORMAL
2024-10-15,HS-82,HS 82 R,Hedge Trimmers,WH-MI-01,Midwest,99,94,5,20,25.1,NORMAL
2024-10-15,HS-87,HS 87 R,Hedge Trimmers,WH-MI-01,Midwest,96,89,7,20,25.5,NORMAL
2024-10-15,HS-HL 91,HL 91 K,Hedge Trimmers,WH-MI-01,Midwest,16,16,0,20,3.6,CRITICAL
2024-10-15,HS-HL 92,HL 92 C-E,Hedge Trimmers,WH-MI-01,Midwest,94,88,6,20,19.2,NORMAL
2024-10-15,HS-HL 94,HL 94 C-E,Hedge Trimmers,WH-MI-01,Midwest,91,81,10,20,21.6,NORMAL
2024-10-15,RM-RM 756,RM 756 GC,Lawn Mowers,WH-MI-01,Midwest,62,57,5,15,15.9,NORMAL
